,,,,,
Moon + noise,,,,,
,Alt Vs True NMI,Alt Vs Original NMI,Clustering Quality,Cost,Time(s)
,0,0.016,0.598,13.184,711.746
,1,0,1.9936,83.547,123.521
,,,,,
,,,,,
Face Experiment,,,,,
,Alt Vs True NMI,Alt Vs Original NMI,Clustering Quality,Cost,Time(s)
ISM,,,,,
,0.442,0.023,0.076,-0.074,37
,,,,,
Orthogonal,,,,,
,0.339,0.03,0.0754,-0.072,434.7320962
,0.197,0.037,0.0755,-0.072,448.978822
,0.275,0.03,0.0759,-0.073,249.900475
,0.193,0.041,0.0758,-0.072,539.5264919
,0.24,0.067,0.0758,-0.073,512.3647799
,0.297,0.026,0.0756,-0.072,509.264961
,0.222,0.03,0.0757,-0.073,504.7913082
,0.339,0.03,0.0754,-0.072,499.3627601
,0.293,0.044,0.0759,-0.073,616.565994
,0.236,0.027,0.0757,-0.073,643.478513
,,,,,
DG,,,,,
,0.018,0.337,0.0321,0.085,8895.899885
,0.019,0.349,0.0398,0.203,14102.69883
,0.027,0.323,0.0225,0.164,21336.88158
,0.027,0.373,0.0219,0.172,22280.7973
,0.051,0.312,0.0249,0.2,22287.27276
,0.05,0.349,0.0206,0.144,25450.38832
,0.012,0.452,0.0267,0.155,26459.44748
,0.015,0.424,0.0183,0.11,27304.70187
,0.006,0.575,0.0186,0.003,37454.1275
,,,,,
Web KB,Alt Vs True NMI,Alt Vs Original NMI,Clustering Quality,Cost,Time(s)
ISM,,,,,
,0.442,0.023,0.076,-0.074,38386
,,,,,
Orthogonal,,,,,
,0.0658,0.00347,0.4137,-0.399,20975.83
,0.0653,0.00626,0.5642,-0.539,22057.309
,0.0778,0.014,0.6002,-0.574,22863.368
,0.0954,0.0072,0.7908,-0.761,23862.554
,0.1372,0.00715,0.8105,-0.779,24773.307
,0.0846,0.00991,0.9437,-0.907,32010.999
,0.2441,0.0207,1.0246,-0.985,34386.329
,0.0835,0.00462,1.0497,-1.01,37580.936
,0.1026,0.00424,0.8866,-0.853,38675.771
,0.0788,0.016,1.0975,-1.056,40403.478
DG,,,,,
,0.0324,0.0883,0.0313,0.065,14889.134
,0.0517,0.0726,0.1769,-0.01,15275.139
,0.056,0.0661,0.0443,0.112,15389.746
,0.0197,0.1301,0.0296,0.074,15505.099
,0.0479,0.0743,0.0356,0.086,15488.301
,0.0404,0.028,0.0385,0.112,15520.343
,0.0352,0.1103,0.0278,0.07,15443.689
,0.0296,0.0406,0.0325,0.106,15485.459
,0.0232,0.1498,0.0347,0.076,15499.434
,0.0594,0.0889,0.0401,0.113,15540.224
,,,,,
4 Small Gaussian,,,,,
,Alt Vs True NMI,Alt Vs Original NMI,Clustering Quality,Cost,Time(s)
,,,,,
ISM,,,,,
,1,0,1.0456,-0.938,0.012
,,,,,
OM,,,,,
,1,0,1.046,-0.938,0.045
,1,0,1.0458,-0.938,0.043
,1,0,1.0459,-0.938,0.047
,1,0,1.0454,-0.938,0.046
,1,0,1.0458,-0.938,0.044
,1,0,1.046,-0.938,0.044
,1,0,1.0459,-0.938,0.048
,1,0,1.0458,-0.938,0.043
,1,0,1.0457,-0.938,0.045
,1,0,1.0459,-0.938,0.047
DG,,,,,
,1,0,1.0456,19.06,0.829
,1,0,1.0456,19.06,0.737
,1,0,1.0456,19.06,0.776
,1,0,1.0456,19.06,0.774
,1,0,1.0456,19.06,0.796
,1,0,1.0456,19.06,0.762
,1,0,1.0456,19.06,0.786
,1,0,1.0456,19.06,0.766
,1,0,1.0456,19.06,0.772
,1,0,1.0456,19.06,0.831
,,,,,
,,,,,
4 Large Gaussian,,,,,
,Alt Vs True NMI,Alt Vs Original NMI,Clustering Quality,Cost,Time(s)
,,,,,
ISM,,,,,
,1,0,1.548,-1.147,16.691
,,,,,
OM,,,,,
,1,0,1.3585,-1.215,3.387
,1,0,1.4764,-0.471,3.771
,1,0,1.5525,-1.031,3.202
,1,0,1.4588,-0.753,11.271
,1,0,1.5422,-1.126,3.94
,1,0,1.4719,-1.089,4.19
,1,0,1.5187,-0.189,7.305
,1,0,1.5219,-0.588,3.867
,1,0,1.5229,-1.156,5.342
,0,0,2,97.177,16.357
DG,,,,,
,1,0,1.0404,199.202,104.961
,1,0,1.0001,197.527,131.233
,1,0,1.0024,197.804,130.246
,1,0,1.009,197.98,138.769
,0,1,0.3981,0.398,138.434
,0,0,1.9866,295.778,1329.364
,0,0,1.9765,294.255,2251.089
,0,0,1.9864,294.685,2230.453
,1,0,1.2237,196.717,2280.456
,0,0,0.9772,295.603,3694.392
